60,39,0
54,42,0
67,46,0.07
47,40,0.21
54,40,0
61,36,0
53,43,0.52
64,46,0.34
61,45,0
58,42,0
75,56,0
73,50,0
77,54,0
75,59,0
63,33,0.71
49,31,0.05
48,36,0
49,35,0
68,41,0
60,45,0
67,41,0
71,51,0.01
61,44,0
62,42,0
63,44,0.02
67,46,0.92
59,47,0
67,45,0
52,43,0.03
52,41,4.97
78,51,0.12
70,56,0
71,54,0.08
65,54,0.02
70,50,0
71,52,0
69,50,0
59,53,0.41
63,55,0.04
83,57,0.37
82,60,0.03
85,64,0
73,53,0
71,52,0.01
71,58,0.15
68,58,1.54
70,53,0
67,51,0
72,49,0
78,53,0
74,63,0
67,59,0.24
71,56,0.91
70,57,0.4
80,55,0
86,66,0
86,64,0
64,54,0
66,51,0
75,55,0
73,57,0.05
77,55,0
80,59,0
87,65,0.12
82,63,0
76,61,0.87
76,61,0
82,60,0
86,66,0
73,63,1.6
77,65,0
70,61,0.02
73,60,0.07
79,65,1.28
74,60,0
80,59,0
81,63,0
89,71,0
89,76,0
77,68,0.15
79,64,0
78,62,0
79,64,0
81,65,0
81,68,0
85,70,0.08
85,70,0.07
83,67,0
87,66,0
83,68,0
84,69,0
89,72,0
91,72,0.96
87,69,1.78
74,65,0.14
81,63,0
84,66,0
90,72,0.04
91,71,0.39
88,71,0.09
83,72,0
86,71,0
85,71,0
83,72,0.03
84,72,0.46
86,72,1.3
81,68,0
81,67,0
81,64,0
76,68,0
80,66,0
85,67,0
86,71,0
88,72,0.19
80,70,0
82,66,0
81,69,0
85,71,0.02
82,68,0.19
76,64,0
80,63,0
82,68,0
84,71,0
74,63,0.41
76,66,0.07
84,70,0
90,71,0
83,70,0
83,66,0
83,65,0
87,66,0
88,68,0
87,71,0
79,70,0.19
82,68,0.53
77,63,0
73,61,0
78,63,0
82,66,0.01
81,63,0
83,63,0
84,70,0
83,65,0.35
79,65,0.06
77,67,0.01
80,64,0
88,64,0
89,70,0
90,70,0
82,66,0
80,61,0
80,65,0
90,73,0.62
88,75,0
92,77,0
86,72,0
87,69,0
87,72,0
91,67,0.11
81,65,0
75,65,0
73,63,0
80,63,0
83,69,0
78,62,0
69,58,0.26
71,53,0
71,55,0
70,58,0.37
73,55,0
76,57,0
66,54,0
75,57,0
75,67,0.15
71,55,0
71,52,0
71,58,0
64,57,0.32
77,58,0
83,60,0
84,64,0
79,67,0
71,62,0
